freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.201e+01,1.701e+01,6.736e+02,7.126e+02
1.5,8.530e+01,4.273e+01,4.292e+02,5.572e+02
3.0,1.051e+02,4.742e+01,8.450e+01,2.370e+02
4.5,1.346e+02,4.790e+01,3.270e+02,5.094e+02
6.0,1.492e+02,4.839e+01,1.188e+03,1.385e+03
7.5,1.171e+02,4.695e+01,1.940e+03,2.104e+03
9.0,1.339e+02,4.814e+01,2.799e+03,2.981e+03
10.5,1.390e+02,5.155e+01,3.846e+03,4.036e+03
12.0,1.340e+02,5.939e+01,5.197e+03,5.390e+03
13.6,1.372e+02,9.720e+01,6.563e+03,6.798e+03
15.1,1.476e+02,1.437e+02,7.527e+03,7.818e+03
16.6,1.497e+02,1.068e+02,8.298e+03,8.554e+03
18.1,1.432e+02,6.138e+01,9.472e+03,9.677e+03
19.6,1.383e+02,5.590e+01,1.193e+04,1.212e+04
21.1,1.327e+02,6.675e+01,1.528e+04,1.548e+04
22.6,1.342e+02,6.375e+01,1.864e+04,1.884e+04
24.1,1.478e+02,6.773e+01,2.174e+04,2.195e+04
25.6,1.416e+02,6.475e+01,2.450e+04,2.471e+04
27.1,1.184e+02,7.417e+01,2.738e+04,2.757e+04
28.6,1.313e+02,9.436e+01,3.058e+04,3.080e+04
30.1,1.432e+02,1.151e+02,3.451e+04,3.477e+04
31.6,1.415e+02,1.184e+02,3.921e+04,3.947e+04
33.1,1.427e+02,1.244e+02,4.461e+04,4.487e+04
34.6,1.360e+02,1.895e+02,5.140e+04,5.173e+04
36.1,1.501e+02,3.096e+02,5.876e+04,5.922e+04
37.7,1.427e+02,4.004e+02,6.852e+04,6.906e+04
39.2,1.339e+02,5.014e+02,7.816e+04,7.880e+04
40.7,1.628e+02,7.950e+02,9.095e+04,9.191e+04
42.2,1.939e+02,1.221e+03,1.125e+05,1.139e+05
43.7,2.752e+02,1.731e+03,1.407e+05,1.427e+05
45.2,3.399e+02,2.093e+03,1.689e+05,1.714e+05
46.7,3.239e+02,2.225e+03,1.959e+05,1.985e+05
48.2,2.670e+02,2.123e+03,2.282e+05,2.305e+05
49.7,2.403e+02,2.749e+03,2.641e+05,2.671e+05
51.2,2.275e+02,4.675e+03,3.274e+05,3.323e+05
52.7,2.562e+02,8.418e+03,4.360e+05,4.447e+05
54.2,3.635e+02,1.522e+04,6.076e+05,6.232e+05
55.7,6.785e+02,2.418e+04,8.182e+05,8.430e+05
57.2,1.273e+03,2.982e+04,1.098e+06,1.129e+06
58.7,3.823e+03,3.277e+04,1.690e+06,1.726e+06
60.2,7.895e+03,4.585e+04,2.514e+06,2.567e+06
61.8,1.342e+04,5.219e+04,3.016e+06,3.082e+06
63.3,1.796e+04,4.456e+04,2.886e+06,2.948e+06
64.8,2.037e+04,3.115e+04,2.436e+06,2.488e+06
66.3,2.266e+04,1.740e+04,1.955e+06,1.995e+06
67.8,2.169e+04,8.785e+03,1.536e+06,1.566e+06
69.3,1.876e+04,6.448e+03,1.291e+06,1.316e+06
70.8,1.574e+04,6.189e+03,1.139e+06,1.160e+06
72.3,1.394e+04,5.953e+03,1.007e+06,1.027e+06
73.8,1.422e+04,5.670e+03,8.861e+05,9.060e+05
75.3,1.534e+04,5.191e+03,7.860e+05,8.066e+05
76.8,1.669e+04,4.323e+03,7.069e+05,7.279e+05
78.3,1.617e+04,3.509e+03,6.355e+05,6.551e+05
79.8,1.503e+04,2.677e+03,5.787e+05,5.964e+05
81.3,1.394e+04,2.150e+03,5.489e+05,5.650e+05
82.8,1.380e+04,2.058e+03,5.318e+05,5.477e+05
84.3,1.374e+04,2.273e+03,5.293e+05,5.453e+05
85.9,1.315e+04,2.632e+03,5.217e+05,5.375e+05
87.4,1.258e+04,3.185e+03,4.926e+05,5.084e+05
88.9,1.226e+04,3.683e+03,4.454e+05,4.614e+05
90.4,1.406e+04,5.125e+03,4.162e+05,4.354e+05
91.9,1.660e+04,6.580e+03,4.139e+05,4.370e+05
93.4,2.011e+04,7.480e+03,4.115e+05,4.391e+05
94.9,2.217e+04,8.189e+03,3.572e+05,3.876e+05
96.4,2.405e+04,9.136e+03,2.854e+05,3.186e+05
97.9,2.571e+04,1.021e+04,2.145e+05,2.504e+05
99.4,2.386e+04,9.955e+03,1.642e+05,1.980e+05
100.9,1.699e+04,7.609e+03,1.479e+05,1.725e+05
102.4,1.010e+04,5.197e+03,1.485e+05,1.638e+05
103.9,6.092e+03,3.844e+03,1.393e+05,1.493e+05
105.4,3.644e+03,2.764e+03,1.125e+05,1.189e+05
106.9,2.437e+03,2.617e+03,1.036e+05,1.087e+05
108.4,1.502e+03,2.295e+03,8.582e+04,8.961e+04
110.0,8.935e+02,1.674e+03,6.742e+04,6.998e+04
111.5,5.232e+02,1.192e+03,5.290e+04,5.461e+04
113.0,3.186e+02,1.101e+03,4.666e+04,4.808e+04
114.5,2.191e+02,1.412e+03,4.257e+04,4.420e+04
116.0,1.631e+02,1.969e+03,3.856e+04,4.070e+04
117.5,2.339e+02,3.186e+03,3.536e+04,3.878e+04
119.0,3.965e+02,5.063e+03,3.369e+04,3.915e+04
120.5,2.702e+02,7.010e+03,3.466e+04,4.194e+04
122.0,1.911e+02,7.965e+03,2.984e+04,3.799e+04
123.5,5.427e+02,8.864e+03,2.593e+04,3.534e+04
125.0,2.427e+03,1.109e+04,2.981e+04,4.332e+04
126.5,1.664e+03,1.337e+04,3.214e+04,4.717e+04
128.0,1.008e+03,1.772e+04,2.556e+04,4.429e+04
129.5,1.240e+03,2.068e+04,2.913e+04,5.105e+04
131.0,1.606e+03,1.965e+04,4.849e+04,6.974e+04
132.5,2.016e+03,1.695e+04,5.726e+04,7.623e+04
134.1,1.096e+03,8.025e+03,2.475e+04,3.388e+04
135.6,7.555e+02,5.577e+03,1.600e+04,2.233e+04
137.1,7.642e+02,4.923e+03,1.486e+04,2.055e+04
138.6,7.541e+02,4.158e+03,1.326e+04,1.817e+04
140.1,7.176e+02,3.361e+03,1.186e+04,1.594e+04
141.6,6.720e+02,2.839e+03,1.109e+04,1.460e+04
143.1,6.186e+02,2.331e+03,1.021e+04,1.316e+04
144.6,6.392e+02,2.115e+03,9.896e+03,1.265e+04
146.1,7.292e+02,1.851e+03,1.033e+04,1.291e+04
147.6,8.813e+02,1.635e+03,1.194e+04,1.446e+04
149.1,1.248e+03,1.661e+03,1.634e+04,1.925e+04
150.6,1.555e+03,1.685e+03,1.923e+04,2.247e+04
152.1,1.546e+03,1.722e+03,1.908e+04,2.234e+04
153.6,1.570e+03,1.782e+03,1.918e+04,2.253e+04
155.1,1.606e+03,1.896e+03,1.895e+04,2.245e+04
156.6,1.703e+03,2.099e+03,1.886e+04,2.267e+04
158.2,1.769e+03,2.323e+03,1.902e+04,2.311e+04
159.7,1.905e+03,2.543e+03,1.895e+04,2.340e+04
161.2,2.088e+03,2.386e+03,1.851e+04,2.298e+04
162.7,2.167e+03,2.043e+03,1.788e+04,2.209e+04
164.2,2.367e+03,1.763e+03,1.788e+04,2.201e+04
165.7,2.572e+03,1.435e+03,1.818e+04,2.219e+04
167.2,2.906e+03,1.405e+03,1.938e+04,2.369e+04
168.7,3.346e+03,1.513e+03,2.176e+04,2.662e+04
170.2,4.357e+03,1.865e+03,2.725e+04,3.347e+04
171.7,6.845e+03,2.816e+03,3.920e+04,4.886e+04
173.2,8.850e+03,3.335e+03,4.760e+04,5.978e+04
174.7,8.449e+03,3.046e+03,4.508e+04,5.658e+04
176.2,7.221e+03,2.282e+03,3.982e+04,4.932e+04
177.7,6.862e+03,2.011e+03,3.682e+04,4.569e+04
179.2,7.222e+03,2.373e+03,3.581e+04,4.540e+04
180.7,7.392e+03,2.578e+03,3.266e+04,4.263e+04
182.3,7.139e+03,2.422e+03,2.731e+04,3.687e+04
183.8,6.674e+03,2.274e+03,2.245e+04,3.140e+04
185.3,5.925e+03,2.066e+03,1.727e+04,2.527e+04
186.8,4.796e+03,1.809e+03,1.241e+04,1.901e+04
188.3,3.681e+03,1.572e+03,8.689e+03,1.394e+04
189.8,2.573e+03,1.321e+03,5.720e+03,9.613e+03
191.3,1.891e+03,1.074e+03,4.444e+03,7.409e+03
192.8,1.901e+03,9.019e+02,5.051e+03,7.853e+03
194.3,2.785e+03,7.525e+02,7.129e+03,1.067e+04
195.8,3.818e+03,6.029e+02,8.082e+03,1.250e+04
197.3,4.516e+03,5.452e+02,8.170e+03,1.323e+04
198.8,4.603e+03,7.876e+02,7.068e+03,1.246e+04
