freq,psd_x,psd_y,psd_z,psd_xyz
145.0,4.622e+02,8.498e+02,1.854e+03,3.166e+03
146.5,4.811e+02,1.050e+03,2.336e+03,3.867e+03
148.1,4.443e+02,1.089e+03,2.192e+03,3.725e+03
149.6,4.020e+02,9.674e+02,1.577e+03,2.946e+03
151.1,3.399e+02,8.463e+02,1.070e+03,2.256e+03
152.6,2.567e+02,7.880e+02,7.080e+02,1.753e+03
154.2,2.200e+02,7.246e+02,5.232e+02,1.468e+03
155.7,1.913e+02,6.811e+02,3.840e+02,1.256e+03
157.2,1.623e+02,5.752e+02,2.962e+02,1.034e+03
158.7,1.604e+02,4.949e+02,3.198e+02,9.751e+02
160.3,1.872e+02,6.149e+02,3.351e+02,1.137e+03
161.8,2.215e+02,7.588e+02,3.950e+02,1.375e+03
163.3,2.475e+02,8.890e+02,6.895e+02,1.826e+03
164.8,2.623e+02,8.938e+02,7.676e+02,1.924e+03
166.4,2.745e+02,8.351e+02,7.320e+02,1.842e+03
167.9,2.676e+02,7.831e+02,7.147e+02,1.765e+03
169.4,2.786e+02,7.123e+02,6.550e+02,1.646e+03
171.0,2.861e+02,6.804e+02,6.299e+02,1.596e+03
172.5,3.295e+02,7.442e+02,6.018e+02,1.675e+03
174.0,3.940e+02,8.023e+02,6.264e+02,1.823e+03
175.5,3.721e+02,7.543e+02,6.647e+02,1.791e+03
177.1,3.492e+02,7.138e+02,6.549e+02,1.718e+03
178.6,3.155e+02,8.106e+02,6.126e+02,1.739e+03
180.1,2.885e+02,8.669e+02,5.812e+02,1.737e+03
181.6,2.883e+02,8.168e+02,5.671e+02,1.672e+03
183.2,2.689e+02,7.714e+02,5.474e+02,1.588e+03
184.7,2.304e+02,6.914e+02,5.246e+02,1.446e+03
186.2,1.983e+02,5.478e+02,5.148e+02,1.261e+03
187.7,1.655e+02,4.218e+02,5.565e+02,1.144e+03
189.3,1.572e+02,3.439e+02,6.370e+02,1.138e+03
190.8,1.589e+02,3.167e+02,7.522e+02,1.228e+03
192.3,1.925e+02,3.279e+02,8.235e+02,1.344e+03
193.8,2.264e+02,3.404e+02,9.180e+02,1.485e+03
195.4,2.734e+02,3.347e+02,9.444e+02,1.553e+03
196.9,3.294e+02,3.888e+02,9.657e+02,1.684e+03
198.4,3.261e+02,4.156e+02,9.692e+02,1.711e+03
200.0,3.205e+02,4.288e+02,1.059e+03,1.809e+03
