freq,psd_x,psd_y,psd_z,psd_xyz
175.5,4.141e+03,3.068e+03,2.854e+04,3.575e+04
177.0,5.049e+03,3.235e+03,3.096e+04,3.924e+04
178.5,6.566e+03,3.618e+03,3.398e+04,4.417e+04
180.1,7.650e+03,4.085e+03,3.626e+04,4.799e+04
181.6,7.400e+03,3.964e+03,3.331e+04,4.467e+04
183.1,6.074e+03,3.183e+03,2.583e+04,3.509e+04
184.6,5.571e+03,2.554e+03,2.084e+04,2.897e+04
186.2,5.567e+03,2.243e+03,1.757e+04,2.538e+04
187.7,4.827e+03,1.858e+03,1.296e+04,1.964e+04
189.2,3.291e+03,1.446e+03,7.335e+03,1.207e+04
190.8,1.970e+03,1.283e+03,3.752e+03,7.006e+03
192.3,1.361e+03,1.346e+03,2.963e+03,5.670e+03
193.8,1.318e+03,1.412e+03,3.930e+03,6.660e+03
195.3,1.489e+03,1.468e+03,5.715e+03,8.671e+03
196.9,1.452e+03,1.448e+03,5.769e+03,8.669e+03
198.4,1.498e+03,1.449e+03,5.068e+03,8.016e+03
199.9,1.617e+03,1.380e+03,4.369e+03,7.367e+03
