freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.030e+01,5.241e+02,1.446e+01,6.188e+02
1.5,8.714e+01,3.163e+02,6.109e+01,4.645e+02
3.0,5.455e+01,4.847e+01,7.241e+01,1.754e+02
4.5,5.398e+01,3.091e+02,6.698e+01,4.300e+02
6.0,5.308e+01,1.178e+03,7.010e+01,1.301e+03
7.5,5.300e+01,2.057e+03,7.423e+01,2.184e+03
9.0,5.734e+01,3.092e+03,7.169e+01,3.221e+03
10.5,5.729e+01,4.596e+03,6.968e+01,4.723e+03
12.0,6.001e+01,6.664e+03,1.201e+02,6.844e+03
13.5,6.396e+01,7.496e+03,3.003e+02,7.860e+03
15.1,7.524e+01,8.219e+03,3.813e+02,8.675e+03
16.6,1.004e+02,9.455e+03,2.952e+02,9.851e+03
18.1,8.297e+01,1.149e+04,1.572e+02,1.173e+04
19.6,6.669e+01,1.449e+04,8.283e+01,1.464e+04
21.1,7.590e+01,1.786e+04,7.845e+01,1.802e+04
22.6,8.463e+01,2.269e+04,9.277e+01,2.286e+04
24.1,8.992e+01,2.826e+04,1.086e+02,2.846e+04
25.6,9.775e+01,3.468e+04,1.016e+02,3.488e+04
27.1,1.268e+02,4.395e+04,8.035e+01,4.416e+04
28.6,1.712e+02,5.657e+04,1.193e+02,5.686e+04
30.1,2.494e+02,7.073e+04,1.742e+02,7.115e+04
31.6,3.724e+02,8.409e+04,1.713e+02,8.463e+04
33.1,6.240e+02,1.057e+05,1.820e+02,1.065e+05
34.6,1.117e+03,1.456e+05,2.844e+02,1.470e+05
36.1,2.137e+03,2.090e+05,4.497e+02,2.116e+05
37.6,4.236e+03,3.246e+05,7.418e+02,3.296e+05
39.1,8.906e+03,5.161e+05,1.022e+03,5.260e+05
40.6,2.272e+04,8.967e+05,9.920e+02,9.204e+05
42.2,4.687e+04,1.399e+06,7.825e+02,1.447e+06
43.7,6.144e+04,1.509e+06,7.667e+02,1.571e+06
45.2,6.604e+04,1.346e+06,8.001e+02,1.413e+06
46.7,7.105e+04,1.198e+06,8.756e+02,1.269e+06
48.2,7.120e+04,1.004e+06,9.791e+02,1.076e+06
49.7,6.810e+04,8.057e+05,1.090e+03,8.749e+05
51.2,6.912e+04,6.831e+05,1.323e+03,7.536e+05
52.7,7.565e+04,6.204e+05,1.721e+03,6.978e+05
54.2,8.524e+04,5.793e+05,2.429e+03,6.669e+05
55.7,9.671e+04,5.462e+05,3.325e+03,6.462e+05
57.2,1.089e+05,5.108e+05,4.005e+03,6.237e+05
58.7,1.281e+05,4.886e+05,4.186e+03,6.210e+05
60.2,1.426e+05,4.553e+05,4.580e+03,6.025e+05
61.7,1.403e+05,3.889e+05,5.107e+03,5.343e+05
63.2,1.270e+05,3.021e+05,5.109e+03,4.342e+05
64.7,1.130e+05,2.212e+05,4.609e+03,3.388e+05
66.2,1.054e+05,1.629e+05,4.089e+03,2.724e+05
67.7,1.011e+05,1.227e+05,3.632e+03,2.274e+05
69.3,9.811e+04,9.561e+04,3.162e+03,1.969e+05
70.8,1.022e+05,8.062e+04,2.789e+03,1.856e+05
72.3,1.145e+05,7.247e+04,2.896e+03,1.898e+05
73.8,1.297e+05,6.577e+04,3.459e+03,1.989e+05
75.3,1.365e+05,5.781e+04,4.090e+03,1.984e+05
76.8,1.197e+05,5.027e+04,4.738e+03,1.747e+05
78.3,1.050e+05,4.359e+04,4.961e+03,1.536e+05
79.8,9.385e+04,3.621e+04,4.942e+03,1.350e+05
81.3,8.804e+04,2.917e+04,5.227e+03,1.224e+05
82.8,8.346e+04,2.381e+04,6.416e+03,1.137e+05
84.3,8.231e+04,2.044e+04,9.087e+03,1.118e+05
85.8,8.352e+04,1.763e+04,1.068e+04,1.118e+05
87.3,8.919e+04,1.562e+04,9.202e+03,1.140e+05
88.8,9.854e+04,1.515e+04,4.946e+03,1.186e+05
90.3,1.050e+05,1.791e+04,2.434e+03,1.253e+05
91.8,1.045e+05,2.289e+04,5.096e+03,1.325e+05
93.3,1.047e+05,2.896e+04,2.426e+04,1.579e+05
94.8,1.066e+05,3.656e+04,1.514e+04,1.583e+05
96.4,1.114e+05,4.777e+04,5.458e+03,1.646e+05
97.9,1.113e+05,5.924e+04,5.672e+03,1.762e+05
99.4,9.880e+04,6.566e+04,5.315e+03,1.698e+05
100.9,7.377e+04,6.412e+04,3.896e+03,1.418e+05
102.4,4.994e+04,5.893e+04,2.425e+03,1.113e+05
103.9,3.168e+04,5.162e+04,2.138e+03,8.544e+04
105.4,1.932e+04,4.461e+04,3.086e+03,6.701e+04
106.9,1.355e+04,4.314e+04,4.027e+03,6.071e+04
108.4,1.044e+04,4.353e+04,4.071e+03,5.804e+04
109.9,8.311e+03,4.393e+04,4.231e+03,5.647e+04
111.4,6.275e+03,4.334e+04,3.964e+03,5.358e+04
112.9,4.275e+03,4.134e+04,3.560e+03,4.917e+04
114.4,3.020e+03,4.172e+04,3.529e+03,4.827e+04
115.9,2.320e+03,4.447e+04,3.768e+03,5.056e+04
117.4,1.679e+03,4.460e+04,3.934e+03,5.021e+04
118.9,1.318e+03,4.260e+04,4.357e+03,4.827e+04
120.4,1.038e+03,4.190e+04,4.249e+03,4.719e+04
121.9,9.344e+02,4.034e+04,3.858e+03,4.513e+04
123.5,1.445e+03,3.596e+04,3.866e+03,4.127e+04
125.0,3.883e+03,3.312e+04,4.776e+03,4.178e+04
126.5,3.686e+03,3.614e+04,4.067e+03,4.390e+04
128.0,3.637e+03,3.918e+04,2.122e+03,4.494e+04
129.5,4.245e+03,3.311e+04,1.697e+03,3.905e+04
131.0,4.554e+03,3.406e+04,2.272e+03,4.088e+04
132.5,3.428e+03,2.726e+04,2.328e+03,3.301e+04
134.0,7.793e+02,5.099e+03,6.604e+02,6.539e+03
135.5,1.723e+02,6.968e+02,4.590e+02,1.328e+03
137.0,1.564e+02,7.791e+02,7.726e+02,1.708e+03
138.5,1.468e+02,7.947e+02,1.191e+03,2.132e+03
140.0,1.470e+02,6.989e+02,1.355e+03,2.200e+03
141.5,1.514e+02,5.087e+02,1.574e+03,2.235e+03
143.0,1.787e+02,4.009e+02,1.615e+03,2.194e+03
144.5,2.221e+02,3.111e+02,1.391e+03,1.924e+03
146.0,2.670e+02,2.511e+02,1.386e+03,1.904e+03
147.5,3.056e+02,2.195e+02,1.421e+03,1.946e+03
149.0,3.515e+02,1.937e+02,1.446e+03,1.991e+03
150.6,3.865e+02,2.006e+02,1.508e+03,2.096e+03
152.1,3.672e+02,2.231e+02,1.459e+03,2.049e+03
153.6,3.437e+02,2.690e+02,1.344e+03,1.956e+03
155.1,3.716e+02,3.550e+02,1.370e+03,2.096e+03
156.6,3.474e+02,4.048e+02,1.368e+03,2.120e+03
158.1,3.148e+02,4.462e+02,1.430e+03,2.191e+03
159.6,2.960e+02,4.957e+02,1.369e+03,2.161e+03
161.1,2.634e+02,5.800e+02,1.118e+03,1.961e+03
162.6,2.514e+02,7.659e+02,1.095e+03,2.112e+03
164.1,2.701e+02,9.161e+02,1.243e+03,2.430e+03
165.6,2.786e+02,1.069e+03,1.406e+03,2.754e+03
167.1,2.936e+02,1.203e+03,1.437e+03,2.934e+03
168.6,3.124e+02,1.307e+03,1.322e+03,2.941e+03
170.1,3.268e+02,1.333e+03,1.176e+03,2.836e+03
171.6,3.670e+02,1.317e+03,9.865e+02,2.671e+03
173.1,4.172e+02,1.329e+03,8.230e+02,2.570e+03
174.6,4.006e+02,1.308e+03,7.273e+02,2.435e+03
176.1,3.602e+02,1.328e+03,6.962e+02,2.384e+03
177.7,3.707e+02,1.315e+03,7.084e+02,2.394e+03
179.2,3.867e+02,1.325e+03,6.492e+02,2.360e+03
180.7,3.652e+02,1.283e+03,5.726e+02,2.220e+03
182.2,3.688e+02,1.252e+03,5.862e+02,2.207e+03
183.7,3.946e+02,1.284e+03,6.471e+02,2.326e+03
185.2,4.509e+02,1.286e+03,7.677e+02,2.504e+03
186.7,4.562e+02,1.157e+03,8.511e+02,2.465e+03
188.2,4.546e+02,1.006e+03,1.000e+03,2.461e+03
189.7,4.906e+02,8.419e+02,1.216e+03,2.548e+03
191.2,5.623e+02,7.215e+02,1.341e+03,2.625e+03
192.7,7.087e+02,6.579e+02,1.391e+03,2.758e+03
194.2,7.762e+02,6.802e+02,1.392e+03,2.848e+03
195.7,8.901e+02,7.393e+02,1.388e+03,3.017e+03
197.2,1.221e+03,8.099e+02,1.446e+03,3.477e+03
198.7,1.587e+03,9.046e+02,1.556e+03,4.047e+03
